Date,Open,High,Low,Close,Adj Close,Volume,Company
31/5/2004,28.37,28.72,27.36,28.14,16.31,219408400,Intel
7/6/2004,28.44,29.01,28.23,28.64,16.6,174396600,Intel
14/6/2004,28.23,28.65,27.34,27.64,16.02,210249800,Intel
21/6/2004,27.85,28.6,27.13,27.78,16.1,266090100,Intel
28/6/2004,27.92,27.97,26.25,26.33,15.26,270454300,Intel
5/7/2004,26.02,26.73,25.68,26.57,15.4,191697800,Intel
12/7/2004,26.06,26.49,22.65,22.73,13.18,601671400,Intel
19/7/2004,22.84,23.52,22.46,22.67,13.14,342161600,Intel
26/7/2004,22.86,24.64,22.66,24.38,14.13,434374500,Intel
2/8/2004,24.04,24.99,22.69,22.77,13.2,294807400,Intel
9/8/2004,22.93,22.99,21.03,21.56,12.52,303134700,Intel
16/8/2004,21.57,22.27,21.34,21.62,12.55,294068800,Intel
23/8/2004,21.82,22.27,21.53,22.02,12.79,254836700,Intel
30/8/2004,21.99,22.04,19.85,20.05,11.64,427324200,Intel
6/9/2004,20.23,20.7,19.69,20.57,11.94,316053500,Intel
13/9/2004,20.77,21.18,19.9,20.59,11.96,345816600,Intel
20/9/2004,20.47,21.35,20.07,20.13,11.69,327251600,Intel
27/9/2004,19.97,20.92,19.64,20.85,12.11,344405300,Intel
4/10/2004,21.17,21.57,20.49,20.55,11.93,345987100,Intel
11/10/2004,20.68,21.53,20.22,20.61,11.97,430744000,Intel
18/10/2004,20.56,21.91,20.35,21.3,12.37,361148500,Intel
25/10/2004,21.22,22.61,21.2,22.26,12.93,312098600,Intel
1/11/2004,22.19,23.38,22.15,23.36,13.56,340155200,Intel
8/11/2004,23.22,23.76,22.54,23.69,13.78,347498800,Intel
15/11/2004,23.56,24.99,23.41,24.16,14.05,355660600,Intel
22/11/2004,23.96,24.12,23.15,23.21,13.5,225777800,Intel
29/11/2004,23.3,24.5,22.35,23.91,13.91,491669100,Intel
6/12/2004,23.92,24.25,22.5,22.56,13.12,396841800,Intel
13/12/2004,22.66,23.46,22.44,22.77,13.24,355440600,Intel
20/12/2004,22.8,23.81,22.66,23.54,13.69,208680400,Intel
27/12/2004,23.65,23.7,23.13,23.39,13.61,193257700,Intel
3/1/2005,23.64,23.79,22.35,22.8,13.26,377788700,Intel
10/1/2005,22.91,23.33,22.4,23.02,13.39,461701800,Intel
17/1/2005,22.87,22.97,22.38,22.42,13.04,285023400,Intel
24/1/2005,22.49,22.59,21.89,22.24,12.94,404037000,Intel
31/1/2005,22.45,23.02,22.17,23,13.38,329468300,Intel
